2444695	1401	5	26
2444732	1401	7	4
2444769	1401	8	11
2444806	1401	9	19
2444843	1401	10	26
2444880	1401	12	4
2444917	1402	1	11
2444954	1402	2	18
2444991	1402	3	26
2445028	1402	5	4
2445065	1402	6	11
2445102	1402	7	19
2445139	1402	8	26
2445176	1402	10	4
2445213	1402	11	12
2445250	1402	12	19
2445287	1403	1	27
2445324	1403	3	5
2445361	1403	4	12
2445398	1403	5	20
2445435	1403	6	27
2445472	1403	8	5
2445509	1403	9	13
2445546	1403	10	20
2445583	1403	11	28
2445620	1404	1	6
2445657	1404	2	13
2445694	1404	3	21
2445731	1404	4	28
2445768	1404	6	6
2445805	1404	7	14
2445842	1404	8	21
2445879	1404	9	29
2445916	1404	11	7
2445953	1404	12	14
2445990	1405	1	21
2446027	1405	2	28
2446064	1405	4	6
2446101	1405	5	14
2446138	1405	6	21
2446175	1405	7	29
2446212	1405	9	7
2446249	1405	10	14
2446286	1405	11	22
2446323	1405	12	29
2446360	1406	2	7
2446397	1406	3	15
2446434	1406	4	22
2446471	1406	5	30
2446508	1406	7	8
2446545	1406	8	15
2446582	1406	9	23
2446619	1406	11	1
2446656	1406	12	8
2446693	1407	1	16
2446730	1407	2	23
2446767	1407	4	1
2446804	1407	5	9
2446841	1407	6	16
2446878	1407	7	24
2446915	1407	9	2
2446952	1407	10	9
2446989	1407	11	17
2447026	1407	12	24
2447063	1408	2	1
2447100	1408	3	9
2447137	1408	4	16
2447174	1408	5	24
2447211	1408	7	2
2447248	1408	8	9
2447285	1408	9	17
2447322	1408	10	24
2447359	1408	12	2
2447396	1409	1	10
2447433	1409	2	17
2447470	1409	3	25
2447507	1409	5	3
2447544	1409	6	10
2447581	1409	7	18
2447618	1409	8	25
2447655	1409	10	3
2447692	1409	11	11
2447729	1409	12	18
2447766	1410	1	25
2447803	1410	3	3
2447840	1410	4	10
2447877	1410	5	18
2447914	1410	6	25
2447951	1410	8	3
2447988	1410	9	11
2448025	1410	10	18
2448062	1410	11	26
2448099	1411	1	4
2448136	1411	2	11
2448173	1411	3	19
2448210	1411	4	26
2448247	1411	6	4
2448284	1411	7	12
2448321	1411	8	19
2448358	1411	9	27
2448395	1411	11	5
2448432	1411	12	12
2448469	1412	1	20
2448506	1412	2	27
2448543	1412	4	5
2448580	1412	5	13
2448617	1412	6	20
2448654	1412	7	28
2448691	1412	9	6
2448728	1412	10	13
2448765	1412	11	21
2448802	1412	12	28
2448839	1413	2	5
2448876	1413	3	13
2448913	1413	4	20
2448950	1413	5	28
2448987	1413	7	6
2449024	1413	8	13
2449061	1413	9	21
2449098	1413	10	28
2449135	1413	12	6
2449172	1414	1	14
2449209	1414	2	21
2449246	1414	3	29
2449283	1414	5	7
2449320	1414	6	14
2449357	1414	7	22
2449394	1414	8	29
2449431	1414	10	7
2449468	1414	11	15
2449505	1414	12	22
2449542	1415	1	30
2449579	1415	3	8
2449616	1415	4	15
2449653	1415	5	23
2449690	1415	7	1
2449727	1415	8	8
2449764	1415	9	16
2449801	1415	10	23
2449838	1415	12	1
2449875	1416	1	8
2449912	1416	2	15
2449949	1416	3	23
2449986	1416	5	1
2450023	1416	6	8
2450060	1416	7	16
2450097	1416	8	23
2450134	1416	10	1
2450171	1416	11	9
2450208	1416	12	16
2450245	1417	1	24
2450282	1417	3	2
2450319	1417	4	9
2450356	1417	5	17
2450393	1417	6	24
2450430	1417	8	2
2450467	1417	9	10
2450504	1417	10	17
2450541	1417	11	25
2450578	1418	1	3
2450615	1418	2	10
2450652	1418	3	18
2450689	1418	4	25
2450726	1418	6	3
2450763	1418	7	11
2450800	1418	8	18
2450837	1418	9	26
2450874	1418	11	4
2450911	1418	12	11
2450948	1419	1	18
2450985	1419	2	25
2451022	1419	4	3
2451059	1419	5	11
2451096	1419	6	18
2451133	1419	7	26
2451170	1419	9	4
2451207	1419	10	11
2451244	1419	11	19
2451281	1419	12	26
2451318	1420	2	4
2451355	1420	3	12
2451392	1420	4	19
2451429	1420	5	27
2451466	1420	7	5
2451503	1420	8	12
2451540	1420	9	20
2451577	1420	10	27
2451614	1420	12	5
2451651	1421	1	12
2451688	1421	2	19
2451725	1421	3	27
2451762	1421	5	5
2451799	1421	6	12
2451836	1421	7	20
2451873	1421	8	27
2451910	1421	10	5
2451947	1421	11	13
2451984	1421	12	20
2452021	1422	1	28
2452058	1422	3	6
2452095	1422	4	13
2452132	1422	5	21
2452169	1422	6	28
2452206	1422	8	6
2452243	1422	9	14
2452280	1422	10	21
2452317	1422	11	29
2452354	1423	1	7
2452391	1423	2	14
2452428	1423	3	22
2452465	1423	4	29
